School,Address,Latitude,Longitude,4-Year Graduation Rate - All Students,6-Year Graduation Rate - All Students,Average Regents Score - Algebra I,Average Regents Score - Algebra II,Average Regents Score - Chemistry,Average Regents Score - Earth Science,Average Regents Score - English,Average Regents Score - Geometry,Average Regents Score - Global History,Average Regents Score - Languages Other Than English,Average Regents Score - Living Environment,Average Regents Score - Physics,Average Regents Score - US History,Average score of students in the current cohort who took the SAT Math exam,Average score of students in the current cohort who took the SAT Reading and Writing exam,Average Student Attendance,College and Career Preparatory Course Index,Postsecondary Enrollment Rate - 18 Months,Postsecondary Enrollment Rate - 6 Months
South Bronx Community Charter High School,"1110 Washington Avenue, Bronx, NY 10456",40.828815,-73.908302,0.815,0.894,54,0,0,0,65.8,0,0,0,57.9,0,56.2,0,0,0.793,0.692,0.482,0.455
South Bronx Preparatory: A College Board School,"360 East 145th Street, Bronx NY 10454",40.813612,-73.920851,0.966,1,66.7,59.9,0,68.1,75.5,68.4,73.1,89.2,69.7,0,74.9,408,424,0.91,0.612,0.605,0.717
Special Music School,"122 Amsterdam Avenue, Manhattan NY 10023",40.775256,-73.982976,1,1,80.1,76.5,74.3,0,85.8,76.8,87.8,0,84.9,66.8,79.1,580,592,0.928,1,1,0.81
Spring Creek Community School,"1065 Elton Street, Brooklyn NY 11208",40.657266,-73.874064,0.841,0.887,52.8,40.3,48.7,0,66.1,42.9,63.8,0,55.9,0,53.3,412,410,0.841,0.428,0.484,0.508
Staten Island Technical High School,"485 Clawson Street, Staten Island NY 10306",40.568299,-74.117086,0.997,0.997,88.1,85,84.4,0,92.9,87.6,88.9,86.5,89.1,84.8,90.2,733,700,0.965,1,0.913,0.879
Stephen T. Mather Building Arts & Craftsmanship High School,"439 West 49th Street, Manhattan NY 10019",40.763655,-73.990318,0.844,0.876,55.9,47.7,0,58.2,62.3,51.7,63.2,0,58.8,0,66.9,397,427,0.808,0.883,0.486,0.381
Stuyvesant High School,"345 Chambers Street, Manhattan NY 10282",40.718025,-74.013921,0.992,0.998,88.1,91.3,87.3,0,94.3,92.3,90.8,91.8,92.1,87.7,87.9,763,728,0.965,0.993,0.994,0.977
Summit Academy Charter School,"27 Huntington Street, Brooklyn, New York 11231",40.67761,-74.005347,0.854,0.895,46.3,43.4,51,62.4,71.8,48.6,67.2,0,57.9,0,0,433,432,0.841,0.488,0.553,0.606
Sunset Park High School,"153 35th Street, Brooklyn NY 11232",40.655583,-74.004342,0.893,0.893,59.5,55.1,47.3,62.1,68.9,0,67.8,80.9,57,0,67.5,432,434,0.82,0.737,0.585,0.561
Susan E. Wagner High School,"1200 Manor Road, Staten Island NY 10314",40.588985,-74.130819,0.908,0.93,60.4,66.5,65.6,53.6,82.6,62.3,74.5,88,69,67.7,73.5,484,497,0.93,0.711,0.714,0.705
Talent Unlimited High School,"317 East 67th Street, Manhattan NY 10065",40.765638,-73.959777,0.954,1,69.6,50,57,65.4,76.1,59.3,76.5,0,71.2,42.2,0,479,506,0.867,0.907,0.845,0.815
Teachers Preparatory High School,"226 Bristol Street, Brooklyn NY 11212",40.665568,-73.912102,0.706,0.756,55.8,0,0,60.1,54,47.9,56.5,0,57.5,0,52.7,382,403,0.805,0.338,0.195,0.333
The Academy of Urban Planning and Engineering,"400 Irving Avenue, Brooklyn, NY 11237",40.697326,-73.91143,0.947,0.982,59.5,58.4,0,61.4,63.1,55,62.4,0,62,50.1,69.4,414,411,0.9,0.671,0.429,0.573
The Boerum Hill School for International Studies,"284 Baltic Street, Brooklyn, NY 11201",40.685483,-73.993506,0.867,0.942,58.2,60.3,54,61.7,70.4,60.6,68.6,68.9,61.5,0,67.6,472,497,0.851,0.681,0.692,0.678
The Bronx High School of Science,"75 West 205 Street Bronx, NY 10468",40.877644,-73.891221,0.992,1,87.9,88.3,87.1,0,94.1,87.8,90.6,90.5,90.9,86.8,89.9,742,709,0.957,0.997,0.991,0.907
The Bronxwood Preparatory Academy,"921 East 228th Street, Bronx, NY 10466",40.8879,-73.852904,0.899,0.907,59.2,40.4,0,47.4,62.2,57.5,59.9,71.3,56,0,55.8,384,420,0.904,0.81,0.605,0.514
The Brooklyn Academy of Global Finance,"125 Stuyvesant Avenue, Brooklyn, NY 11221",40.691587,-73.933803,0.892,0.833,51.7,35.9,0,0,58,47.4,61.4,82.2,54,0,57.8,374,380,0.839,0.216,0.292,0.378
The Brooklyn School for Math and Research,"400 Irving Avenue, Brooklyn, NY 11237",40.697408,-73.911554,0.941,0.933,71.8,75.5,67.5,0,69.4,66.9,73.7,0,78.4,64.8,73.5,472,450,0.887,1,0.717,0.738
The Brooklyn School for Social Justice,"400 Irving Avenue, Brooklyn, NY 11237",40.697408,-73.911554,0.892,0.87,56.8,44.6,38.1,52.4,63.8,43.1,61.6,85.9,53.8,0,0,391,407,0.79,0.5,0.26,0.352
The Cinema School,"1551 E 172nd St Bronx, New York, 10472",40.831496,-73.877207,0.876,0.987,58.5,39.3,37.6,62.2,67.1,44.5,63.3,0,58.7,0,64.1,422,438,0.89,0.485,0.756,0.76
The Clinton School,"10 E 15th Street. Manhattan, NY 10003",40.736308,-73.99224,0.992,1,0,0,0,75.7,87.1,77.8,81.5,0,87.5,0,0,589,633,0.912,0.908,0.871,0.838
The College Academy,"549 Audubon Avenue, Manhattan, NY 10040",40.855978,-73.927035,0.914,0.92,68.9,62,0,60.3,58.2,0,64,74.9,60.8,0,0,398,391,0.829,0.679,0.598,0.721
The Eagle Academy for Young Men of Staten Island,"101 Warren Street, Staten Island, NY 10304",40.620348,-74.081643,0.75,0.857,55.9,0,44,50.2,66.2,40.7,58.4,0,51.1,0,65.8,408,410,0.798,0.125,0.619,0.458
The East New York Arts and Civics High School,"800 Van Siclen Avenue Brooklyn, NY 11207",40.660355,-73.885507,0.861,0.935,46.1,0,0,0,62.2,0,53.6,0,43.6,0,0,421,423,0.853,0.278,0.565,0.379
The Equality Charter School,"3901 White Plains Road, Bronx, NY 10466",40.885853,-73.861559,0.882,0.874,64.1,59.1,54.5,59.6,67.7,53.8,69.4,0,59.5,0,67,432,454,0.886,0.375,0.66,0.7
The Global Learning Collaborative,"145 West 84 Street, Manhattan, NY 10024",40.785597,-73.974143,0.853,0.929,61.7,57.3,56.9,63,64.3,0,60.8,74.4,59.3,0,59.7,427,451,0.792,0.404,0.602,0.649
The High School for Climate Justice,"320 East 96 Street, Manhattan, NY 10128",40.783513,-73.945428,0.896,0.86,57.8,0,0,50,70.6,57.3,62.8,81.6,62.5,0,65.6,389,411,0.776,0.701,0.618,0.409
"The High School for Enterprise, Business and Technology","850 Grand Street, Brooklyn, NY 11211",40.712053,-73.940264,0.839,0.866,59.3,45.8,43.3,48.8,65.2,45.6,60.5,87,58,57.5,64.5,435,429,0.83,0.619,0.495,0.527
The High School for Global Citizenship,"883 Classon Avenue, Brooklyn, NY 11225",40.670029,-73.961813,0.951,0.87,74.2,0,0,56.5,66.9,54.7,63.3,0,67.3,0,65.5,392,410,0.91,0.549,0.674,0.64
The High School For Language And Diplomacy,"40 Irving Pl, New York, NY 10003",40.735459,-73.987721,0.846,0.818,65.7,49.9,47.9,0,73,54.7,61.5,0,0,0,64.5,443,449,0.752,0.323,0.545,0.493
The High School of Fashion Industries,"225 W 24th St New York, NY 10011",40.745457,-73.996834,0.895,0.958,67.7,52.5,50.3,63.7,77.8,53.8,68.1,0,67.7,37.3,69.8,428,448,0.891,0.876,0.763,0.65
The Laboratory School of Finance and Technology: X223,"360 East 145 Street, Bronx, NY 10454",40.813931,-73.920618,0.909,0.977,0,0,0,0,74.2,0,0,0,0,0,0,454,455,0.894,0.803,0.705,0.764
"The Marie Curie School for Medicine, Nursing, and Health Professions","120 West 231 Street, Bronx, NY 10463",40.875852,-73.900972,0.818,0.882,53.8,0,0,70.7,58.1,0,58.7,0,60.8,0,58.4,403,410,0.794,0.273,0.72,0.465
The Maxine Greene HS for Imaginative Inquiry,"122 Amsterdam Avenue, Manhattan, NY 10023",40.774293,-73.984861,0.85,0.804,59.5,0,0,0,68.2,0,69.9,0,64.5,0,71.4,398,431,0.736,0.725,0.489,0.292
The Metropolitan Soundview High School,"1300 Boynton Ave, Bronx, NY 10472",40.831415,-73.878881,0.777,0.83,54.2,44.3,0,67.9,63.9,45.8,59.8,0,51.7,0,65.5,415,425,0.896,0.339,0.49,0.512
The Michael J. Petrides School,"715 Ocean Ter Ste B, Staten Island, NY 10301",40.620793,-74.077504,0.976,0.964,53.1,61.2,60.9,53.2,74.8,56.5,74.2,69.6,65.4,63.2,68.7,465,468,0.846,0.65,0.901,0.701
The Urban Assembly Bronx Academy of Letters,"339 Morris Avenue, Bronx, NY 10451",40.813589,-73.925358,0.734,0.873,47.6,39.7,48.5,55.5,57.6,45.3,61.8,0,53.1,0,61.6,371,397,0.752,0.285,0.608,0.511
The Urban Assembly School for Collaborative Healthcare,"999 Jamaica Avenue, Brooklyn, NY 11208",40.691037,-73.868831,0.923,0.899,62.8,48.6,52.8,0,63.8,0,67.7,0,62.8,32.2,61.6,436,461,0.86,0.815,0.798,0.651
The Urban Assembly School for Emergency Management,"411 Pearl Street, Manhattan, NY 10038",40.710945,-74.000625,0.96,0.927,61.9,55.7,0,62.1,70.6,45,60.9,0,60.1,0,62.1,405,435,0.836,0.46,0.691,0.597
The Urban Assembly School for Global Commerce,"2005 Madison Avenue, Manhattan, NY 10035",40.807355,-73.93948,0.698,0.797,59.6,0,0,0,73.5,51.8,62.9,0,61,0,64,397,398,0.747,0.07,0.424,0.31
The Urban Assembly School for Green Careers,"145 W 84th Street New York, NY 10024",40.785652,-73.974256,0.914,0.947,58.1,0,0,0,67.9,0,59.3,0,55.8,0,0,409,426,0.79,0.488,0.64,0.561
