School,Address,Latitude,Longitude,4-Year Graduation Rate - All Students,6-Year Graduation Rate - All Students,Average Regents Score - Algebra I,Average Regents Score - Algebra II,Average Regents Score - Chemistry,Average Regents Score - Earth Science,Average Regents Score - English,Average Regents Score - Geometry,Average Regents Score - Global History,Average Regents Score - Languages Other Than English,Average Regents Score - Living Environment,Average Regents Score - Physics,Average Regents Score - US History,Average score of students in the current cohort who took the SAT Math exam,Average score of students in the current cohort who took the SAT Reading and Writing exam,Average Student Attendance,College and Career Preparatory Course Index,Postsecondary Enrollment Rate - 18 Months,Postsecondary Enrollment Rate - 6 Months
West End Secondary School,"227-243 West 61st Street, Manhattan NY 10023",40.772608,-73.988338,1,,65.1,47.1,0,71.7,84.4,65.1,79.7,73.8,76.8,0,76.7,547,588,0.912,0.978,0,0.732
Westchester Square Academy,"3000 East Tremont Avenue, Bronx NY 10461",40.839775,-73.839583,0.912,0.875,58.1,58.5,0,0,62,0,60.2,0,55.7,0,0,411,415,0.813,0.549,0.643,0.593
William Cullen Bryant High School,"48-10 31st Avenue, Astoria NY 11103",40.757072,-73.911165,0.89,0.88,62.4,50.5,57.4,61.4,69,53.3,68.7,83.5,61.6,41.7,68.6,436,441,0.835,0.643,0.606,0.55
William E. Grady Career and Technical Education High School,"25 Brighton 4th Road, Brooklyn NY 11235",40.583263,-73.963764,0.845,0.826,57.1,44.6,43.2,69.7,69.7,50.8,64.7,0,61,0,60.4,400,417,0.82,0.445,0.402,0.327
Williamsburg Charter High School,"198 Varet St, Brooklyn, NY 11206",40.703662,-73.93623,0.847,0.908,55,47.6,40.2,56.6,58.5,47.1,62.7,80.7,56.2,0,62.5,0,0,0.769,0.299,0.588,0.573
Williamsburg High School for Architecture and Design,"257 North 6th Street, Brooklyn NY 11211",40.715561,-73.954815,0.961,0.98,66.4,60,63.6,71.5,77.8,59.3,72.3,83,63.7,0,69.9,444,456,0.905,0.903,0.707,0.651
Williamsburg Preparatory School,"257 North 6th Street, Brooklyn NY 11211",40.715561,-73.954815,0.952,0.988,64,69.2,69.1,67,78,64.1,70,90.2,64.4,0,71.8,438,442,0.863,0.617,0.721,0.737
Wings Academy,"1122 East 180th Street, Bronx NY 10460",40.841376,-73.875262,0.848,0.759,60.9,0,0,54.3,57.4,46.6,62.3,0,54.7,0,61,401,416,0.815,0.158,0.402,0.316
Women's Academy of Excellence,"456 White Plains Road, Bronx NY 10473",40.815043,-73.85607,0.842,0.741,59.9,0,46.5,0,60.7,50.1,61.5,74.9,53.4,0,57.8,420,420,0.841,0.789,0.534,0.529
World Academy for Total Community Health High School,"400 Pennsylvania Avenue, Brooklyn NY 11207",40.666868,-73.895122,0.78,0.732,54.4,0,0,0,62.8,0,60.5,0,56.1,0,59.3,379,372,0.799,0.34,0.357,0.528
World Journalism Preparatory: A College Board School,"34-65 192nd Street, Flushing NY 11358",40.764884,-73.789365,0.989,1,61.9,48.7,60,68.1,69.4,59.1,73.3,82.6,69.5,48.7,78.4,472,501,0.893,0.989,0.976,0.711
World View High School,"100 West Mosholu Parkway South, Bronx NY 10468",40.879958,-73.889011,0.955,1,63.3,48.2,60.4,0,67.7,48.5,66.4,0,66.9,43.1,70.7,431,428,0.881,0.97,0.682,0.761
York Early College Academy,"108-35 167th Street, Jamaica NY 11433",40.69691,-73.786403,1,0.989,0,59.4,68.9,72.9,88.6,0,75.9,0,0,0,70.7,464,473,0.896,1,0.967,0.885
Young Women's Leadership School,"105 East 106th Street, New York NY 10029",40.792932,-73.947171,0.975,1,62.3,55,57.7,61.6,81,68.6,73.2,85.7,74.6,0,71.6,459,472,0.883,0.614,0.949,0.92
Young Women's Leadership School of Brooklyn,"325 Bushwick Avenue, Brooklyn NY 11206",40.705005,-73.93879,0.934,0.982,58.6,48.3,48.4,63.3,68.2,54.6,68.8,64.9,68.2,0,66.1,419,433,0.826,0.525,0.842,0.783
Young Women's Leadership School of the Bronx,"1865 Morris Avenue, Bronx NY 10453",40.848552,-73.909022,0.96,0.935,70.6,53.7,51.9,56.5,73,51.3,76.6,84.3,67.8,0,75.9,431,442,0.883,0.473,0.839,0.852
"Young Women's Leadership School, Astoria","23-15 Newtown Avenue, Astoria NY 11102",40.770769,-73.92383,1,1,56.7,63.9,59.6,0,80.9,65.9,76.3,84.5,67.3,50.4,79.1,509,533,0.904,0.959,0.922,0.907
"Young Women's Leadership School, Queens","150-91 87th Road, Jamaica NY 11432",40.708409,-73.804166,0.986,0.969,69.8,69.6,60.2,77,80.3,64.9,75.4,85,63.4,0,82.5,511,521,0.918,0.912,0.906,0.753
